"gene"	"B6_2ng_B6_NT1"	"B6_10ng_B6_NT1"	"B6_10ng_B6_2ng"	"B6_50ng_B6_NT1"	"B6_50ng_B6_2ng"	"B6_50ng_B6_10ng"	"1h_NT1_B6_NT1"	"1h_NT1_B6_2ng"	"1h_NT1_B6_10ng"	"1h_NT1_B6_50ng"	"1h_2ng_B6_NT1"	"1h_2ng_B6_2ng"	"1h_2ng_B6_10ng"	"1h_2ng_B6_50ng"	"1h_2ng_1h_NT1"	"1h_10ng_B6_NT1"	"1h_10ng_B6_2ng"	"1h_10ng_B6_10ng"	"1h_10ng_B6_50ng"	"1h_10ng_1h_NT1"	"1h_10ng_1h_2ng"	"1h_50ng_B6_NT1"	"1h_50ng_B6_2ng"	"1h_50ng_B6_10ng"	"1h_50ng_B6_50ng"	"1h_50ng_1h_NT1"	"1h_50ng_1h_2ng"	"1h_50ng_1h_10ng"
"Tmem37"	"-0.791763"	"-2.658440"	"-1.866680"	"-4.993320"	"-4.201560"	"-2.334880"	NA	NA	"  2.085740"	"  4.420620"	"-0.843223"	NA	" 1.815220"	"  4.150100"	NA	"-1.616210"	" -0.824448"	" 1.042230"	" 3.377110"	"-1.043510"	NA	NA	NA	" 1.945350"	" 4.280230"	NA	NA	" 0.903119"
"Marco"	" 6.300440"	" 7.985890"	" 1.685450"	" 6.473980"	NA	"-1.511910"	NA	"-6.238640"	" -7.924090"	" -6.412170"	" 6.118270"	NA	"-1.867620"	NA	" 6.056460"	" 7.563050"	"  1.262610"	NA	" 1.089080"	" 7.501250"	" 1.444790"	" 5.618480"	NA	"-2.367410"	NA	" 5.556680"	NA	"-1.944570"
"Cd55"	" 5.522610"	" 3.818010"	NA	NA	"-4.624310"	"-2.919700"	NA	"-4.916350"	NA	NA	" 5.335240"	NA	NA	"  4.436930"	" 4.728970"	NA	" -1.806440"	NA	" 2.817870"	NA	"-1.619060"	NA	"-3.315450"	NA	NA	NA	"-3.128070"	NA
"Ikbke"	" 1.623930"	" 2.341340"	NA	" 2.171420"	NA	NA	NA	"-1.813050"	" -2.530450"	" -2.360540"	" 1.176220"	NA	"-1.165120"	" -0.995203"	" 1.365340"	" 2.009200"	NA	NA	NA	" 2.198320"	NA	" 1.230740"	NA	"-1.110600"	NA	" 1.419860"	NA	NA
"Ppp1r12b"	" 1.334610"	" 2.506960"	" 1.172350"	" 4.976270"	" 3.641660"	" 2.469310"	NA	NA	" -1.780590"	" -4.249900"	" 1.719720"	NA	NA	" -3.256560"	NA	" 2.029850"	NA	NA	"-2.946420"	" 1.303480"	NA	" 2.903190"	" 1.568570"	NA	"-2.073090"	" 2.176810"	" 1.183470"	NA
"Rgs1"	"-1.468560"	NA	NA	" 2.011860"	" 3.480420"	" 2.703600"	NA	" 2.082170"	"  1.305350"	" -1.398250"	NA	NA	NA	" -2.810960"	"-1.412720"	NA	"  1.372110"	NA	"-2.108300"	NA	NA	" 1.493280"	" 2.961840"	" 2.185020"	NA	NA	" 2.292380"	" 1.589720"
"Mr1"	"-0.925685"	"-2.054720"	"-1.129040"	"-2.535800"	"-1.610120"	NA	NA	NA	"  1.696800"	"  2.177880"	"-1.362510"	NA	NA	"  1.173290"	"-1.004590"	"-2.726490"	" -1.800800"	NA	NA	"-2.368560"	"-1.363980"	NA	NA	" 1.235560"	" 1.716640"	NA	NA	" 1.907330"
"Nuf2"	" 0.762683"	NA	"-1.448790"	"-3.622960"	"-4.385650"	"-2.936860"	NA	NA	"  1.409600"	"  4.346450"	" 1.203500"	NA	" 1.889610"	"  4.826470"	NA	NA	" -0.902087"	NA	" 3.483560"	"-0.862896"	"-1.342910"	NA	"-1.609340"	NA	" 2.776310"	"-1.570150"	"-2.050160"	NA
"Slamf8"	" 5.093630"	" 8.016350"	" 2.922720"	" 8.824830"	" 3.731200"	" 0.808480"	NA	"-4.359310"	" -7.282030"	" -8.090510"	" 5.587480"	NA	"-2.428880"	" -3.237360"	" 4.853160"	" 8.357930"	"  3.264290"	NA	NA	" 7.623610"	" 2.770450"	" 8.280570"	" 3.186930"	NA	NA	" 7.546250"	" 2.693090"	NA
"Ifi205"	" 3.742700"	" 9.159660"	" 5.416970"	"11.775900"	" 8.033250"	" 2.616290"	NA	"-4.228860"	" -9.645820"	"-12.262100"	" 5.171790"	" 1.429090"	"-3.987870"	" -6.604160"	" 5.657950"	"10.609200"	"  6.866450"	" 1.449490"	"-1.166800"	"11.095300"	" 5.437360"	"11.465300"	" 7.722570"	" 2.305610"	NA	"11.951400"	" 6.293480"	NA
"Atf3"	"-0.860194"	"-1.161920"	NA	NA	NA	NA	NA	" 1.007960"	"  1.309690"	NA	NA	NA	NA	NA	NA	NA	"  0.798644"	" 1.100370"	NA	NA	NA	NA	" 1.363740"	" 1.665460"	" 1.217630"	NA	" 0.942122"	NA
"Cd24a"	"-1.306660"	"-3.073640"	"-1.766980"	"-3.070060"	"-1.763410"	NA	NA	" 1.943570"	"  3.710550"	"  3.706970"	"-1.202720"	NA	" 1.870920"	"  1.867350"	"-1.839620"	"-2.449580"	" -1.142920"	NA	NA	"-3.086490"	"-1.246860"	NA	NA	" 2.299490"	" 2.295910"	"-1.411060"	NA	" 1.675430"
"Ppa1"	" 1.269720"	" 2.490010"	" 1.220280"	" 2.450930"	" 1.181200"	NA	NA	NA	" -1.676900"	" -1.637820"	" 1.813530"	NA	NA	NA	" 1.000430"	" 3.242450"	"  1.972730"	NA	" 0.791529"	" 2.429350"	" 1.428920"	" 2.357590"	" 1.087860"	NA	NA	" 1.544480"	NA	NA
"Dnmt3l"	" 2.405910"	" 3.925040"	" 1.519130"	" 3.364150"	NA	NA	NA	"-2.003350"	" -3.522480"	" -2.961590"	NA	NA	"-2.528170"	" -1.967280"	NA	" 2.260400"	NA	"-1.664640"	NA	" 1.857840"	NA	NA	NA	"-2.121640"	NA	NA	NA	NA
"Efna2"	" 2.355690"	" 3.611800"	" 1.256120"	" 4.120420"	" 1.764730"	NA	NA	"-2.953680"	" -4.209800"	" -4.718410"	NA	NA	"-1.984020"	" -2.492630"	NA	" 3.032580"	NA	NA	"-1.087840"	" 3.630570"	" 1.404800"	" 2.927740"	NA	NA	NA	" 3.525730"	NA	NA
"Tcp11l2"	"-1.079600"	"-2.735400"	"-1.655800"	"-3.073600"	"-1.994000"	NA	"-0.732248"	NA	"  2.003160"	"  2.341350"	"-1.870450"	NA	" 0.864954"	"  1.203150"	"-1.138200"	"-3.780600"	" -2.700990"	"-1.045190"	NA	"-3.048350"	"-1.910150"	"-0.873848"	NA	" 1.861560"	" 2.199750"	NA	" 0.996601"	" 2.906750"
"Btbd11"	" 2.640860"	" 2.947720"	NA	" 2.024830"	NA	NA	NA	"-2.504280"	" -2.811140"	" -1.888250"	" 2.694050"	NA	NA	NA	" 2.557470"	" 3.301650"	NA	NA	" 1.276820"	" 3.165070"	NA	NA	NA	"-1.550590"	NA	NA	"-1.296920"	"-1.904520"
"Uhrf1bp1l"	"-0.848690"	"-0.956319"	NA	NA	NA	NA	NA	" 0.789843"	"  0.897473"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Osbpl8"	"-0.829306"	"-1.078870"	NA	NA	NA	" 1.079980"	NA	" 0.998039"	"  1.247600"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	" 1.075410"	NA	NA	NA	NA
"Ust"	" 2.060390"	" 2.129040"	NA	" 2.388000"	NA	NA	NA	NA	NA	" -1.542080"	" 2.907350"	NA	NA	NA	" 2.061430"	" 1.932530"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	"-1.764920"	NA
"Stx11"	" 1.194260"	" 2.823690"	" 1.629420"	" 4.286130"	" 3.091870"	" 1.462440"	NA	NA	" -2.513030"	" -3.975470"	" 1.223310"	NA	"-1.600380"	" -3.062820"	NA	" 3.280260"	"  2.085990"	NA	"-1.005870"	" 2.969600"	" 2.056950"	" 3.738460"	" 2.544200"	NA	NA	" 3.427800"	" 2.515150"	NA
"Tnfaip3"	" 1.486260"	" 2.979180"	" 1.492920"	" 4.660930"	" 3.174670"	" 1.681750"	NA	"-1.307220"	" -2.800140"	" -4.481890"	" 1.478050"	NA	"-1.501120"	" -3.182870"	" 1.299020"	" 2.624570"	"  1.138320"	NA	"-2.036350"	" 2.445530"	" 1.146520"	" 3.212020"	" 1.725760"	NA	"-1.448910"	" 3.032980"	" 1.733970"	NA
"Enpp1"	"-1.596140"	"-2.517980"	NA	"-4.196240"	"-2.600100"	"-1.678260"	NA	" 1.429850"	"  2.351680"	"  4.029940"	"-1.322910"	NA	" 1.195070"	"  2.873330"	"-1.156610"	"-2.547060"	NA	NA	" 1.649180"	"-2.380760"	"-1.224150"	NA	NA	" 1.626100"	" 3.304360"	NA	NA	" 1.655180"
"Slc16a10"	" 0.944275"	" 2.022440"	" 1.078160"	" 2.835950"	" 1.891670"	NA	NA	NA	" -1.675980"	" -2.489480"	" 1.453630"	NA	NA	" -1.382310"	" 1.107170"	" 2.112150"	"  1.167870"	NA	NA	" 1.765690"	NA	" 1.754040"	NA	NA	"-1.081910"	" 1.407580"	NA	NA
"1110002J07Rik"	" 1.801130"	" 5.036380"	" 3.235250"	" 6.439310"	" 4.638180"	" 1.402920"	NA	NA	" -4.293650"	" -5.696580"	" 2.789360"	NA	"-2.247020"	" -3.649950"	" 2.046630"	" 5.683870"	"  3.882740"	NA	"-0.755438"	" 4.941140"	" 2.894510"	" 5.711020"	" 3.909890"	NA	NA	" 4.968290"	" 2.921660"	NA
"Col18a1"	" 1.673780"	" 2.667960"	" 0.994175"	" 3.215400"	" 1.541620"	NA	NA	"-1.167960"	" -2.162140"	" -2.709580"	" 2.491230"	" 0.817451"	NA	NA	" 1.985410"	" 3.024430"	"  1.350640"	NA	NA	" 2.518600"	NA	" 2.624460"	NA	NA	NA	" 2.118640"	NA	NA
"Nuak1"	" 0.972416"	" 1.337620"	NA	" 1.665930"	NA	NA	NA	"-1.484650"	" -1.849860"	" -2.178170"	NA	NA	"-0.874731"	" -1.203040"	" 0.975128"	" 0.863794"	NA	NA	"-0.802139"	" 1.376030"	NA	NA	NA	NA	"-0.893328"	" 1.284840"	NA	NA
"Ckap4"	"-0.858590"	"-1.042090"	NA	"-0.935704"	NA	NA	NA	" 1.013050"	"  1.196550"	"  1.090170"	NA	" 0.890207"	" 1.073700"	"  0.967321"	NA	NA	NA	" 0.927756"	" 0.821374"	NA	NA	NA	" 0.892200"	" 1.075700"	" 0.969315"	NA	NA	NA
"Dram1"	" 0.843598"	" 2.555100"	" 1.711500"	" 3.746990"	" 2.903390"	" 1.191890"	NA	"-1.011800"	" -2.723300"	" -3.915190"	NA	NA	"-2.081060"	" -3.272950"	NA	" 2.253820"	"  1.410220"	NA	"-1.493160"	" 2.422030"	" 1.779790"	" 2.464250"	" 1.620650"	NA	"-1.282730"	" 2.632450"	" 1.990220"	NA
"Spic"	" 1.597500"	" 1.971330"	NA	" 2.291030"	NA	NA	NA	"-2.455120"	" -2.828950"	" -3.148650"	" 1.141450"	NA	NA	" -1.149580"	" 1.999070"	" 2.012630"	NA	NA	NA	" 2.870260"	" 0.871184"	" 2.164660"	NA	NA	NA	" 3.022290"	" 1.023220"	NA
"Lyz1"	" 0.898111"	" 0.950874"	NA	NA	"-1.186650"	"-1.239410"	NA	"-1.255700"	" -1.308460"	NA	NA	NA	NA	NA	NA	NA	" -0.888593"	"-0.941357"	NA	NA	NA	NA	"-1.205420"	"-1.258180"	NA	NA	NA	NA
"Hmga2"	"-1.307930"	"-1.820340"	NA	"-1.923060"	NA	NA	NA	" 1.039080"	"  1.551490"	"  1.654210"	NA	NA	" 1.108000"	"  1.210720"	NA	"-0.939372"	NA	" 0.880969"	" 0.983688"	NA	NA	NA	NA	" 1.297260"	" 1.399980"	NA	NA	NA
"Zmiz2"	" 1.109240"	" 1.620890"	NA	" 2.223460"	" 1.114230"	NA	NA	"-0.805179"	" -1.316840"	" -1.919410"	" 1.327540"	NA	NA	" -0.895925"	" 1.023480"	" 1.116770"	NA	NA	"-1.106690"	" 0.812717"	NA	" 0.889885"	NA	NA	"-1.333580"	NA	NA	NA
"Kif3a"	"-1.456730"	"-2.732040"	"-1.275310"	"-3.677690"	"-2.220960"	NA	NA	NA	"  2.058040"	"  3.003690"	"-2.082150"	NA	NA	"  1.595530"	"-1.408160"	"-2.803060"	" -1.346330"	NA	NA	"-2.129060"	NA	NA	NA	" 1.826920"	" 2.772570"	NA	NA	" 1.897950"
"Gpx3"	"-1.726340"	"-2.485600"	NA	"-2.469440"	NA	NA	NA	" 1.451200"	"  2.210470"	"  2.194300"	"-2.173720"	NA	NA	NA	"-1.898580"	"-3.229150"	" -1.502810"	NA	NA	"-2.954010"	NA	NA	NA	" 1.557420"	" 1.541250"	NA	" 1.245530"	" 2.300960"
"Gm12250"	" 1.363770"	" 4.789050"	" 3.425290"	" 6.298430"	" 4.934660"	" 1.509370"	NA	"-1.247380"	" -4.672670"	" -6.182040"	" 2.466850"	" 1.103080"	"-2.322200"	" -3.831580"	" 2.350470"	" 5.967260"	"  4.603490"	" 1.178210"	NA	" 5.850880"	" 3.500410"	" 6.223350"	" 4.859590"	" 1.434300"	NA	" 6.106970"	" 3.756500"	NA
"Adora2b"	" 1.956330"	" 3.621260"	" 1.664930"	" 4.898670"	" 2.942340"	" 1.277410"	NA	NA	" -2.836490"	" -4.113900"	" 2.908390"	NA	NA	" -1.990280"	" 2.123620"	" 5.133610"	"  3.177280"	" 1.512340"	NA	" 4.348830"	" 2.225210"	" 5.254630"	" 3.298300"	" 1.633360"	NA	" 4.469850"	" 2.346230"	NA
"Aurkb"	" 0.965207"	NA	NA	"-2.698230"	"-3.663440"	"-2.652580"	" 0.864021"	NA	NA	"  3.562250"	" 1.603440"	NA	" 1.649090"	"  4.301670"	NA	NA	NA	NA	" 2.923960"	NA	"-1.377720"	NA	"-1.724090"	NA	" 1.939340"	"-1.622910"	"-2.362330"	"-0.984612"
"Atp2a3"	"-1.139380"	"-3.214970"	"-2.075580"	"-3.786660"	"-2.647270"	NA	NA	" 0.906752"	"  2.982330"	"  3.554020"	"-1.659170"	NA	" 1.555800"	"  2.127490"	"-1.426530"	"-4.113860"	" -2.974480"	NA	NA	"-3.881230"	"-2.454700"	NA	NA	" 2.237340"	" 2.809030"	NA	NA	" 3.136240"
"Rtn4rl1"	"-1.483500"	"-4.180830"	"-2.697320"	"-5.986720"	"-4.503220"	NA	NA	" 1.587700"	"  4.285030"	"  6.090920"	"-1.279150"	NA	" 2.901680"	"  4.707570"	"-1.383340"	"-4.453470"	" -2.969970"	NA	NA	"-4.557670"	"-3.174320"	NA	NA	" 3.243740"	" 5.049640"	"-1.041280"	NA	" 3.516390"
"Ccl12"	" 1.512510"	" 4.709400"	" 3.196890"	" 4.993370"	" 3.480860"	NA	NA	NA	" -4.064390"	" -4.348350"	" 2.927370"	" 1.414860"	"-1.782030"	" -2.066000"	" 2.282360"	" 6.620650"	"  5.108140"	" 1.911250"	" 1.627280"	" 5.975630"	" 3.693280"	" 5.442580"	" 3.930070"	NA	NA	" 4.797570"	" 2.515210"	"-1.178070"
"Slfn2"	" 1.062860"	" 2.429490"	" 1.366620"	" 2.681570"	" 1.618700"	NA	NA	"-1.162600"	" -2.529220"	" -2.781300"	" 0.986149"	NA	"-1.443340"	" -1.695420"	" 1.085890"	" 2.796480"	"  1.733620"	NA	NA	" 2.896220"	" 1.810330"	" 2.320070"	NA	NA	NA	" 2.419810"	NA	NA
"Ccl4"	"-1.691420"	"-0.872155"	NA	NA	" 1.166130"	NA	NA	" 1.811950"	"  0.992691"	NA	"-1.417890"	NA	NA	" -0.892599"	"-1.538420"	" 0.930078"	"  2.621500"	" 1.802230"	" 1.455370"	" 0.809542"	" 2.347970"	" 0.915725"	" 2.607140"	" 1.787880"	" 1.441010"	NA	" 2.333610"	NA
"Mllt6"	" 1.017200"	" 1.948950"	" 0.931752"	" 2.946350"	" 1.929160"	" 0.997403"	NA	"-1.156760"	" -2.088510"	" -3.085910"	NA	NA	"-1.283270"	" -2.280670"	" 0.805238"	" 1.167410"	NA	"-0.781544"	"-1.778950"	" 1.306960"	NA	" 1.315370"	NA	NA	"-1.630980"	" 1.454930"	NA	NA
"Tubg1"	" 0.970713"	" 0.935403"	NA	NA	NA	NA	" 0.802188"	NA	NA	NA	" 1.465260"	NA	NA	"  1.111610"	NA	" 1.370060"	NA	NA	" 1.016420"	NA	NA	NA	NA	NA	NA	NA	"-0.827881"	NA
"BC030867"	" 1.391030"	NA	NA	"-2.304550"	"-3.695570"	"-3.116800"	" 1.256430"	NA	NA	"  3.560980"	" 1.774410"	NA	NA	"  4.078950"	NA	" 1.474890"	NA	NA	" 3.779430"	NA	NA	NA	"-1.800120"	NA	" 1.895450"	"-1.665530"	"-2.183500"	"-1.883980"
"Itgb3"	"-2.321240"	"-4.959320"	"-2.638080"	"-5.626660"	"-3.305420"	NA	NA	" 2.378420"	"  5.016500"	"  5.683850"	"-2.433210"	NA	" 2.526110"	"  3.193460"	"-2.490390"	"-4.545450"	" -2.224210"	NA	NA	"-4.602630"	"-2.112240"	"-0.946477"	" 1.374760"	" 4.012840"	" 4.680180"	"-1.003660"	" 1.486730"	" 3.598970"
"Gprc5c"	"-0.880232"	"-4.294230"	"-3.414000"	"-4.571060"	"-3.690820"	NA	NA	NA	"  3.521020"	"  3.797840"	"-1.464460"	NA	" 2.829760"	"  3.106590"	NA	"-3.342330"	" -2.462100"	NA	NA	"-2.569120"	"-1.877870"	NA	NA	" 3.452950"	" 3.729770"	NA	NA	" 2.501050"
"Gm11698"	" 0.000000"	" 0.000000"	NA	NA	NA	NA	NA	" 0.000000"	"  0.000000"	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
"Slc26a11"	"-1.183040"	"-3.319110"	"-2.136070"	"-4.340570"	"-3.157530"	"-1.021460"	NA	" 0.775271"	"  2.911340"	"  3.932800"	"-1.770960"	NA	" 1.548150"	"  2.569610"	"-1.363190"	"-3.950370"	" -2.767330"	NA	NA	"-3.542600"	"-2.179410"	"-0.930894"	NA	" 2.388220"	" 3.409670"	NA	NA	" 3.019470"
"Rnf213"	" 1.226670"	" 3.594470"	" 2.367800"	" 4.682860"	" 3.456190"	NA	NA	"-0.859857"	" -3.227650"	" -4.316050"	" 1.907010"	NA	"-1.687460"	" -2.775850"	" 1.540190"	" 3.909270"	"  2.682600"	NA	NA	" 3.542450"	" 2.002260"	" 3.649130"	" 2.422460"	NA	NA	" 3.282320"	" 1.742130"	NA
"Tcn2"	"-0.972697"	"-1.757540"	"-0.784847"	"-1.980570"	"-1.007880"	NA	NA	NA	"  1.421990"	"  1.645020"	"-1.436790"	NA	NA	NA	"-1.101240"	"-2.320970"	" -1.348270"	NA	NA	"-1.985410"	"-0.884177"	NA	NA	" 1.006170"	" 1.229200"	NA	NA	" 1.569590"
"Fignl1"	" 0.878657"	NA	NA	"-0.904356"	"-1.783010"	"-1.214450"	" 1.171840"	NA	"  0.861751"	"  2.076200"	" 1.823780"	" 0.945121"	" 1.513690"	"  2.728130"	NA	" 1.051270"	NA	NA	" 1.955630"	NA	"-0.772504"	NA	"-1.113850"	NA	NA	"-1.407030"	"-2.058970"	"-1.286470"
"Plek"	"-1.031390"	NA	NA	" 1.357830"	" 2.389220"	" 1.493820"	NA	" 1.104060"	NA	" -1.285160"	"-1.073280"	NA	"-0.937289"	" -2.431110"	"-1.145950"	NA	NA	NA	"-1.811870"	NA	NA	NA	" 1.230820"	NA	"-1.158400"	NA	" 1.272710"	NA
"A430108G06Rik"	"-1.469380"	"-4.483050"	NA	NA	NA	NA	NA	NA	"  4.161630"	NA	"-1.881460"	NA	NA	NA	"-1.560030"	"-3.890620"	NA	NA	NA	"-3.569200"	NA	NA	NA	" 3.674650"	NA	NA	NA	" 3.082220"
"Il4"	"-1.782750"	"-3.003060"	NA	"-4.361010"	NA	NA	NA	NA	"  2.351050"	"  3.709000"	"-1.522950"	NA	NA	NA	NA	"-4.142590"	NA	NA	NA	"-3.490580"	NA	NA	NA	" 2.241720"	" 3.599670"	NA	NA	" 3.381250"
"Tnip1"	" 1.066060"	" 1.874080"	" 0.808020"	" 2.247660"	" 1.181600"	NA	NA	"-1.054820"	" -1.862840"	" -2.236420"	" 1.067510"	NA	"-0.806566"	" -1.180150"	" 1.056280"	" 1.817040"	NA	NA	NA	" 1.805810"	NA	" 1.776040"	NA	NA	NA	" 1.764810"	NA	NA
"Cxcl16"	" 1.932760"	" 3.030110"	NA	" 3.278810"	" 1.346050"	NA	NA	"-1.990830"	" -3.088190"	" -3.336890"	" 1.777680"	NA	"-1.252430"	" -1.501130"	" 1.835760"	" 2.818320"	NA	NA	NA	" 2.876390"	NA	" 2.351630"	NA	NA	NA	" 2.409700"	NA	NA
"Spns3"	" 3.722990"	" 4.771120"	NA	" 4.632300"	NA	NA	NA	"-3.892310"	" -4.940440"	" -4.801620"	" 3.371970"	NA	"-1.399150"	" -1.260320"	" 3.541290"	" 3.649520"	NA	"-1.121600"	NA	" 3.818840"	NA	" 2.408570"	NA	"-2.362550"	"-2.223730"	" 2.577890"	NA	NA
"Ccl5"	" 5.653450"	"10.403700"	" 4.750210"	"12.078300"	" 6.424820"	" 1.674610"	NA	"-6.009490"	"-10.759700"	"-12.434300"	" 4.756230"	"-0.897215"	"-5.647430"	" -7.322040"	" 5.112270"	"10.148400"	"  4.495000"	NA	"-1.929820"	"10.504500"	" 5.392220"	"11.160200"	" 5.506760"	NA	NA	"11.516300"	" 6.403980"	NA
